Tamanio		Duracion
--------------------------- 
100		0.023823 s
101		0.103893 s
102		0.093505 s
103		0.073114 s
104		0.024804 s
105		0.021041 s
106		0.020637 s
107		0.020475 s
108		0.021086 s
109		0.019872 s
110		0.020131 s
111		0.022437 s
112		0.022066 s
113		0.023771 s
114		0.020628 s
115		0.021240 s
116		0.020838 s
117		0.022122 s
118		0.022024 s
119		0.021561 s
120		0.021366 s
121		0.022267 s
122		0.021996 s
123		0.022057 s
124		0.022388 s
125		0.021087 s
126		0.020649 s
127		0.022338 s
128		0.022592 s
129		0.020806 s
130		0.021233 s
==> Media duracion de multiplicacion SSE 	0.029262 s 

100		0.021238 s
101		0.022202 s
102		0.022223 s
103		0.021617 s
104		0.023087 s
105		0.059855 s
106		0.064230 s
107		0.028003 s
108		0.022651 s
109		0.022726 s
110		0.021842 s
111		0.021582 s
112		0.024308 s
113		0.023395 s
114		0.024220 s
115		0.024919 s
116		0.022184 s
117		0.020594 s
118		0.020600 s
119		0.020939 s
120		0.020916 s
121		0.020139 s
122		0.021855 s
123		0.022162 s
124		0.022058 s
125		0.021745 s
126		0.022138 s
127		0.020111 s
128		0.021734 s
129		0.021551 s
130		0.022645 s
==> Duracion media de suma SSE 	0.025649 s 

