Tamanio		Duracion
--------------------------- 
100		0.527489 s
101		0.618734 s
102		0.544602 s
103		0.532057 s
104		0.566870 s
105		0.527160 s
106		0.551042 s
107		0.540557 s
108		0.546827 s
109		0.532495 s
110		0.550819 s
111		0.527096 s
112		0.555952 s
113		0.526870 s
114		0.536382 s
115		0.550916 s
116		0.538082 s
117		0.528930 s
118		0.550290 s
119		0.533921 s
120		0.541663 s
121		0.530065 s
122		0.536493 s
123		0.542033 s
124		0.542978 s
125		0.525161 s
126		0.563621 s
127		0.525339 s
128		0.533440 s
129		0.532137 s
130		0.721235 s
==> Media duracion de multiplicacion SSE 	0.566042 s 

100		0.171094 s
101		0.150441 s
102		0.165753 s
103		0.165816 s
104		0.155973 s
105		0.145589 s
106		0.165218 s
107		0.158223 s
108		0.145760 s
109		0.157405 s
110		0.166559 s
111		0.162872 s
112		0.151485 s
113		0.167372 s
114		0.154230 s
115		0.150091 s
116		0.156477 s
117		0.161001 s
118		0.157007 s
119		0.149617 s
120		0.156991 s
121		0.165666 s
122		0.165784 s
123		0.170745 s
124		0.144063 s
125		0.162966 s
126		0.158743 s
127		0.152216 s
128		0.148396 s
129		0.156448 s
130		0.158293 s
==> Duracion media de suma SSE 	0.163276 s 

