Tamanio		Duracion
--------------------------- 
100		0.358976 s
101		0.362123 s
102		0.365130 s
103		0.367240 s
104		0.375028 s
105		0.376632 s
106		0.380549 s
107		0.383935 s
108		0.387716 s
109		0.392489 s
110		0.393870 s
111		0.400913 s
112		0.404170 s
113		0.406096 s
114		0.411167 s
115		0.411836 s
116		0.419824 s
117		0.421933 s
118		0.424570 s
119		0.428622 s
120		0.431460 s
121		0.436072 s
122		0.439074 s
123		0.443990 s
124		0.446477 s
125		0.452529 s
126		0.452221 s
127		0.458734 s
128		0.461838 s
129		0.465906 s
130		0.469482 s
==> Media duracion de multiplicacion MMX 	0.427687 s 

100		0.174269 s
101		0.175949 s
102		0.177660 s
103		0.178068 s
104		0.179540 s
105		0.181594 s
106		0.183148 s
107		0.184368 s
108		0.188370 s
109		0.190973 s
110		0.188490 s
111		0.190250 s
112		0.192958 s
113		0.193666 s
114		0.196142 s
115		0.198040 s
116		0.199245 s
117		0.199652 s
118		0.202093 s
119		0.202949 s
120		0.205600 s
121		0.206018 s
122		0.207726 s
123		0.209397 s
124		0.211385 s
125		0.212821 s
126		0.215415 s
127		0.216223 s
128		0.218224 s
129		0.221451 s
130		0.220903 s
==> Duracion media de suma MMX 	0.204086 s 

