Tamanio		Duracion
--------------------------- 
100		0.999503 s
101		0.992460 s
102		0.974428 s
103		0.958185 s
104		0.962586 s
105		0.952936 s
106		1.010254 s
107		0.978247 s
108		0.986501 s
109		0.977788 s
110		1.055222 s
111		1.012466 s
112		1.034878 s
113		1.117809 s
114		1.064427 s
115		1.301916 s
116		1.084768 s
117		1.118142 s
118		1.090764 s
119		1.467090 s
120		1.667480 s
121		1.684704 s
122		1.619353 s
123		1.792017 s
124		1.744648 s
125		1.545842 s
126		1.744668 s
127		1.283573 s
128		1.295582 s
129		1.197820 s
130		1.313895 s
==> Media duracion de multiplicacion C 	1.267665 s 

100		0.831424 s
101		0.877767 s
102		0.980048 s
103		1.182578 s
104		1.240585 s
105		1.070534 s
106		1.161302 s
107		1.262826 s
108		1.315710 s
109		1.312785 s
110		1.213635 s
111		1.280585 s
112		1.338076 s
113		1.268164 s
114		1.338037 s
115		1.157414 s
116		0.954990 s
117		0.952096 s
118		0.960582 s
119		1.020826 s
120		1.020376 s
121		0.995500 s
122		1.007559 s
123		1.150151 s
124		1.406778 s
125		1.378315 s
126		1.424701 s
127		1.513085 s
128		1.540308 s
129		1.543038 s
130		1.601719 s
==> Duracion media de suma C 	1.243383 s 

