Level,Date and Time,Source,Event ID,Task Category
Information,11/5/2022 2:23:44 AM,Oracle.xe,34,None,"Audit trail: LENGTH: '2251' ACTION :[1988] 'SELECT * FROM (SELECT sql_id, force_matching_signature,           NVL(plan_hash_value, 0) plan_hash_value,           sql_fulltext as sql_text, parsing_schema_name,           module, action, elapsed_time, cpu_time, buffer_gets,            last_active_child_address,           TO_CHAR(first_load_time, 'YYYY-MM-DD/HH24:MI:SS') first_load_time,           last_load_time,          disk_reads, direct_writes, rows_processed, fetches, executions,            end_of_fetch_count, optimizer_cost, optimizer_env,           command_type, loaded_versions, bind_data, last_active_time, con_dbid,          TO_CHAR(last_exec_start_time, 'YYYY-MM-DD/HH24:MI:SS')           last_exec_start_time         FROM sys.v_$sqlarea_plan_hash s) WHERE ( (module is null or (module != 'SYS_AI_MODULE' and module != 'SYS_AUTO_STS_MODULE')) and sql_text not like 'SELECT /* DS_SVC */%'                  and sql_text not like 'SELECT /* OPT_DYN_SAMP */%'                  and sql_text not like '/*AUTO_INDEX:ddl*/%'                  and sql_text not like '%/*+%dbms_stats%'                  and sql_text not like '%/* SQL Analyze(%'                  and command_type not in (9, 10, 11)                  and plan_hash_value > 0                   and (con_dbid, force_matching_signature) not in                      (select /*+ unnest no_merge */                        sss.con_dbid, sss.force_matching_signature                       from wri$_sqlset_definitions ssf,                             wri$_sqlset_statements sss                        where ssf.id = sss.sqlset_id                          and ssf.con_dbid = sss.con_dbid                         and ssf.owner = 'SYS' and ssf.name = 'SYS_AUTO_STS' and ssf.con_dbid =                                   sys_context('userenv','con_dbid')                         and force_matching_signature > 0                       group by sss.con_dbid, sss.sqlset_id,                                 sss.force_matching_signature                       having count(*) > 1000) )' DATABASE USER:[3] 'SYS' PRIVILEGE :[6] 'SYSDBA' CLIENT USER:[0] '' CLIENT TERMINAL:[15] 'WIN-LQJ87IMDJA3' STATUS:[1] '0' DBID:[10] '1650059966' SESSIONID:[5] '20017' USERHOST:[15] 'WIN-LQJ87IMDJA3' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' ."
Information,11/5/2022 2:23:37 AM,Oracle.xe,34,None,"Audit trail: LENGTH: '790' ACTION :[528] 'SELECT * FROM (SELECT sql_id, force_matching_signature, sql_text, parsing_schema_name,         module, action, elapsed_time, cpu_time, buffer_gets, bind_data,         disk_reads, direct_writes, rows_processed, fetches, executions,         end_of_fetch_count, optimizer_cost, first_load_time, optimizer_env,         priority, command_type, stat_period, active_stat_period, plan_hash_value        , sql_seq, con_dbid, last_exec_start_time       FROM sys.user_sqlset_statements) WHERE (last_exec_start_time < '2021-10-28/02:23:37')' DATABASE USER:[3] 'SYS' PRIVILEGE :[6] 'SYSDBA' CLIENT USER:[0] '' CLIENT TERMINAL:[15] 'WIN-LQJ87IMDJA3' STATUS:[1] '0' DBID:[10] '1650059966' SESSIONID:[5] '20017' USERHOST:[15] 'WIN-LQJ87IMDJA3' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' ."
Information,11/5/2022 2:17:28 AM,Oracle.xe,34,None,Audit trail: LENGTH: '322' ACTION :[19] 'alter database open' DATABASE USER:[1] '/' PRIVILEGE :[6] 'SYSDBA' CLIENT USER:[26] 'NT SERVICE\OracleServiceXE' CLIENT TERMINAL:[15] 'WIN-LQJ87IMDJA3' STATUS:[1] '0' DBID:[10] '3001038542' SESSIONID:[10] '4294967295' USERHOST:[25] 'WORKGROUP\WIN-LQJ87IMDJA3' CLIENT ADDRESS:[0] '' ACTION NUMBER:[2] '35' .
Information,11/5/2022 2:16:49 AM,Oracle.xe,34,None,Audit trail: LENGTH: '333' ACTION :[30] 'alter database mount exclusive' DATABASE USER:[1] '/' PRIVILEGE :[6] 'SYSDBA' CLIENT USER:[26] 'NT SERVICE\OracleServiceXE' CLIENT TERMINAL:[15] 'WIN-LQJ87IMDJA3' STATUS:[1] '0' DBID:[10] '3001038542' SESSIONID:[10] '4294967295' USERHOST:[25] 'WORKGROUP\WIN-LQJ87IMDJA3' CLIENT ADDRESS:[0] '' ACTION NUMBER:[2] '35' .
Information,11/5/2022 2:16:41 AM,Oracle.xe,34,None,Audit trail: LENGTH: '299' ACTION :[7] 'CONNECT' DATABASE USER:[1] '/' PRIVILEGE :[6] 'SYSDBA' CLIENT USER:[26] 'NT SERVICE\OracleServiceXE' CLIENT TERMINAL:[15] 'WIN-LQJ87IMDJA3' STATUS:[1] '0' DBID:[0] '' SESSIONID:[10] '4294967295' USERHOST:[25] 'WORKGROUP\WIN-LQJ87IMDJA3' CLIENT ADDRESS:[0] '' ACTION NUMBER:[3] '100' .
Information,11/5/2022 2:16:39 AM,Oracle.xe,34,None,Audit trail: LENGTH: '279' ACTION :[7] 'STARTUP' DATABASE USER:[1] '/' PRIVILEGE :[6] 'SYSDBA' CLIENT USER:[26] 'NT SERVICE\OracleServiceXE' CLIENT TERMINAL:[15] 'WIN-LQJ87IMDJA3' STATUS:[1] '0' DBID:[0] '' SESSIONID:[1] '0' USERHOST:[15] 'WIN-LQJ87IMDJA3' CLIENT ADDRESS:[0] '' ACTION NUMBER:[3] '138' .
Information,11/5/2022 2:16:12 AM,Oracle.xe,34,None,Audit trail: LENGTH: '262' ACTION :[7] 'CONNECT' DATABASE USER:[1] '/' PRIVILEGE :[6] 'SYSDBA' CLIENT USER:[26] 'NT SERVICE\OracleServiceXE' CLIENT TERMINAL:[15] 'WIN-LQJ87IMDJA3' STATUS:[1] '0' DBID:[0] '' SESSIONID:[0] '' USERHOST:[0] '' CLIENT ADDRESS:[0] '' ACTION NUMBER:[3] '100' .
Information,11/5/2022 1:59:23 AM,Oracle.xe,34,None,"Audit trail: LENGTH: '2251' ACTION :[1988] 'SELECT * FROM (SELECT sql_id, force_matching_signature,           NVL(plan_hash_value, 0) plan_hash_value,           sql_fulltext as sql_text, parsing_schema_name,           module, action, elapsed_time, cpu_time, buffer_gets,            last_active_child_address,           TO_CHAR(first_load_time, 'YYYY-MM-DD/HH24:MI:SS') first_load_time,           last_load_time,          disk_reads, direct_writes, rows_processed, fetches, executions,            end_of_fetch_count, optimizer_cost, optimizer_env,           command_type, loaded_versions, bind_data, last_active_time, con_dbid,          TO_CHAR(last_exec_start_time, 'YYYY-MM-DD/HH24:MI:SS')           last_exec_start_time         FROM sys.v_$sqlarea_plan_hash s) WHERE ( (module is null or (module != 'SYS_AI_MODULE' and module != 'SYS_AUTO_STS_MODULE')) and sql_text not like 'SELECT /* DS_SVC */%'                  and sql_text not like 'SELECT /* OPT_DYN_SAMP */%'                  and sql_text not like '/*AUTO_INDEX:ddl*/%'                  and sql_text not like '%/*+%dbms_stats%'                  and sql_text not like '%/* SQL Analyze(%'                  and command_type not in (9, 10, 11)                  and plan_hash_value > 0                   and (con_dbid, force_matching_signature) not in                      (select /*+ unnest no_merge */                        sss.con_dbid, sss.force_matching_signature                       from wri$_sqlset_definitions ssf,                             wri$_sqlset_statements sss                        where ssf.id = sss.sqlset_id                          and ssf.con_dbid = sss.con_dbid                         and ssf.owner = 'SYS' and ssf.name = 'SYS_AUTO_STS' and ssf.con_dbid =                                   sys_context('userenv','con_dbid')                         and force_matching_signature > 0                       group by sss.con_dbid, sss.sqlset_id,                                 sss.force_matching_signature                       having count(*) > 1000) )' DATABASE USER:[3] 'SYS' PRIVILEGE :[6] 'SYSDBA' CLIENT USER:[0] '' CLIENT TERMINAL:[15] 'WIN-LQJ87IMDJA3' STATUS:[1] '0' DBID:[10] '1650059966' SESSIONID:[5] '10022' USERHOST:[15] 'WIN-LQJ87IMDJA3' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' ."
Information,11/5/2022 1:59:23 AM,Oracle.xe,34,None,"Audit trail: LENGTH: '790' ACTION :[528] 'SELECT * FROM (SELECT sql_id, force_matching_signature, sql_text, parsing_schema_name,         module, action, elapsed_time, cpu_time, buffer_gets, bind_data,         disk_reads, direct_writes, rows_processed, fetches, executions,         end_of_fetch_count, optimizer_cost, first_load_time, optimizer_env,         priority, command_type, stat_period, active_stat_period, plan_hash_value        , sql_seq, con_dbid, last_exec_start_time       FROM sys.user_sqlset_statements) WHERE (last_exec_start_time < '2021-10-28/01:59:22')' DATABASE USER:[3] 'SYS' PRIVILEGE :[6] 'SYSDBA' CLIENT USER:[0] '' CLIENT TERMINAL:[15] 'WIN-LQJ87IMDJA3' STATUS:[1] '0' DBID:[10] '1650059966' SESSIONID:[5] '10022' USERHOST:[15] 'WIN-LQJ87IMDJA3' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' ."
Information,11/5/2022 1:46:30 AM,Oracle.xe,34,None,Audit trail: LENGTH: '322' ACTION :[19] 'alter database open' DATABASE USER:[1] '/' PRIVILEGE :[6] 'SYSDBA' CLIENT USER:[26] 'NT SERVICE\OracleServiceXE' CLIENT TERMINAL:[15] 'WIN-LQJ87IMDJA3' STATUS:[1] '0' DBID:[10] '3001038542' SESSIONID:[10] '4294967295' USERHOST:[25] 'WORKGROUP\WIN-LQJ87IMDJA3' CLIENT ADDRESS:[0] '' ACTION NUMBER:[2] '35' .
