Level,Date and Time,Source,Event ID,Task Category
Information,11/1/2022 10:45:01 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,25,None,"Remote Desktop Services: Session reconnection succeeded:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1
Source Network Address: 192.168.22.1"
Information,11/1/2022 10:44:58 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,24,None,"Remote Desktop Services: Session has been disconnected:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/1/2022 10:44:58 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,40,None,"Session 1 has been disconnected, reason code 5"
Information,11/1/2022 4:31:08 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/1/2022 4:31:07 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/1/2022 4:31:07 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,11/1/2022 4:31:07 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,11/1/2022 4:30:38 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Information,11/1/2022 10:44:57 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1149,None,"Remote Desktop Services: User authentication succeeded:

User: administrator
Domain: MicrosoftAccount
Source Network Address: 192.168.22.1"
Information,11/1/2022 10:44:57 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,261,None,Listener RDP-Tcp received a connection
Information,11/1/2022 10:44:50 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,261,None,Listener RDP-Tcp received a connection
Information,11/1/2022 4:30:43 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 4:30:43 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1136,None,RD Session Host Server role is not installed.
Information,11/1/2022 4:30:42 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 4:30:42 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 4:30:42 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 4:30:42 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 4:30:42 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,258,None,Listener RDP-Tcp has started listening
Information,11/1/2022 4:30:40 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,20523,None,Connection from listener RDP-Tcp will have terminal class of {5828227c-20cf-4408-b73f-73ab70b8849f}
Information,11/1/2022 4:30:39 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 8:28:21 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,11/1/2022 8:28:20 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,11/1/2022 7:41:32 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 2"
