Level,Date and Time,Source,Event ID,Task Category
Information,02/12/2022 19:52:32,Squid Service Source,0,None,Squid started: process id '6600'.
Information,02/12/2022 19:52:32,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:52:12,Squid Service Source,0,None,Squid started: process id '5300'.
Information,02/12/2022 19:52:12,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:51:52,Squid Service Source,0,None,Squid started: process id '5124'.
Information,02/12/2022 19:51:52,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:51:32,Squid Service Source,0,None,Squid started: process id '4568'.
Information,02/12/2022 19:51:32,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:51:12,Squid Service Source,0,None,Squid started: process id '6376'.
Information,02/12/2022 19:51:12,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:50:52,Squid Service Source,0,None,Squid started: process id '2304'.
Information,02/12/2022 19:50:52,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:50:32,Squid Service Source,0,None,Squid started: process id '3768'.
Information,02/12/2022 19:50:32,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:50:12,Squid Service Source,0,None,Squid started: process id '252'.
Information,02/12/2022 19:50:12,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:49:52,Squid Service Source,0,None,Squid started: process id '2384'.
Information,02/12/2022 19:49:52,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:49:32,Squid Service Source,0,None,Squid started: process id '3520'.
Information,02/12/2022 19:49:32,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:49:12,Squid Service Source,0,None,Squid started: process id '6748'.
Information,02/12/2022 19:49:12,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:48:52,Squid Service Source,0,None,Squid started: process id '3840'.
Information,02/12/2022 19:48:52,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:48:32,Squid Service Source,0,None,Squid started: process id '2988'.
Information,02/12/2022 19:48:32,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:48:12,Squid Service Source,0,None,Squid started: process id '3004'.
Information,02/12/2022 19:48:12,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:47:52,Squid Service Source,0,None,Squid started: process id '6868'.
Information,02/12/2022 19:47:52,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:47:30,Squid Service Source,0,None,Squid started: process id '3692'.
Information,02/12/2022 19:47:30,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 19:47:10,Squid Service Source,0,None,Squid started: process id '632'.
